# lambba_val.val 0.8750
#time (ps)      gradients (kcal/mol*lam)
0.000            2.6468908132
200.000            2.7534696654
400.000            2.7032041805
600.000            2.6630855305
800.000            2.6873907562
1000.000            2.6895855263
1200.000            2.6239167123
1400.000            2.6906516929
1600.000            2.6836218439
1800.000            2.6989338096
2000.000            2.6975363043
2200.000            2.6518520943
2400.000            2.6406537577
2600.000            2.5719628556
2800.000            2.7065441878
3000.000            2.6248956129
3200.000            2.6223214059
3400.000            2.6409403724
3600.000            2.6316905805
3800.000            2.5831604864
4000.000            2.6597122440
4200.000            2.6982384697
4400.000            2.6634975765
4600.000            2.6705848457
4800.000            2.6484961116
5000.000            2.6364384469
5200.000            2.7100095730
5400.000            2.6460616746
5600.000            2.6747492593
5800.000            2.5863235306
6000.000            2.6603879735
6200.000            2.6851312602
6400.000            2.6860352413
6600.000            2.6897978144
6800.000            2.6502439909
7000.000            2.6126656284
7200.000            2.6993061662
7400.000            2.6747785713
7600.000            2.7235120407
7800.000            2.6552940501
8000.000            2.5849960290
8200.000            2.6985337896
8400.000            2.6720586167
8600.000            2.6702278360
8800.000            2.6084326461
9000.000            2.6154464426
9200.000            2.6802541376
9400.000            2.6405749540
9600.000            2.6226719163
9800.000            2.6621452163
10000.000            2.6419069980
10200.000            2.6321542413
10400.000            2.5990094492
10600.000            2.6983631301
10800.000            2.6910789672
11000.000            2.6879905639
11200.000            2.6663608355
11400.000            2.6643208740
11600.000            2.7842643452
11800.000            2.6899432714
12000.000            2.6863133168
12200.000            2.5465773736
12400.000            2.6177471165
12600.000            2.7228137595
12800.000            2.6757107021
13000.000            2.6501959639
13200.000            2.7434388332
13400.000            2.6758751054
13600.000            2.7249874603
13800.000            2.6792566049
14000.000            2.5905438820
14200.000            2.6356635916
14400.000            2.6063310956
14600.000            2.6404552332
14800.000            2.7484903689
15000.000            2.7239073345
15200.000            2.5934365063
15400.000            2.6941499185
15600.000            2.7519111191
15800.000            2.6943415939
16000.000            2.7094514889
16200.000            2.7417832543
16400.000            2.6839514156
16600.000            2.6871749517
16800.000            2.6585362539
17000.000            2.6871765824
17200.000            2.7243569175
17400.000            2.7174231938
17600.000            2.6924316773
17800.000            2.6436581092
18000.000            2.7463584035
18200.000            2.6961372750
18400.000            2.6264713385
18600.000            2.6678722206
18800.000            2.6605604890
19000.000            2.6634871635
19200.000            2.6863483631
19400.000            2.6315586855
19600.000            2.5890665529
19800.000            2.6141724533
20000.000            2.6790826365
20200.000            2.7459603641
20400.000            2.7368051379
20600.000            2.7035904963
20800.000            2.6410320562
21000.000            2.5889973143
21200.000            2.5976225467
21400.000            2.7268005637
21600.000            2.7015551068
21800.000            2.6795105512
22000.000            2.6967690690
22200.000            2.7018017889
22400.000            2.7169283353
22600.000            2.7153954659
22800.000            2.7193199992
23000.000            2.6663745575
23200.000            2.6268282533
23400.000            2.7061872611
23600.000            2.6973965342
23800.000            2.6296912929
24000.000            2.6401637796
24200.000            2.6592790753
24400.000            2.6640518121
24600.000            2.6279605394
24800.000            2.6191267607
25000.000            2.5962846082
25200.000            2.6453825058
25400.000            2.7343076709
25600.000            2.6386455929
25800.000            2.6419969443
26000.000            2.6998857881
26200.000            2.6790740083
26400.000            2.6942176035
26600.000            2.6944171480
26800.000            2.7386115404
27000.000            2.6481705902
27200.000            2.6755129781
27400.000            2.5979206597
27600.000            2.6737248459
27800.000            2.6062810287
28000.000            2.6778976031
28200.000            2.7231254522
28400.000            2.6654987440
28600.000            2.6449291454
28800.000            2.5881116866
29000.000            2.6852940209
29200.000            2.6738347881
29400.000            2.6828551068
29600.000            2.6554430947
29800.000            2.6082261161
30000.000            2.6262895721
30200.000            2.6417746641
30400.000            2.6711047229
30600.000            2.7172226471
30800.000            2.6641330828
31000.000            2.6307912308
31200.000            2.6915825665
31400.000            2.6598057957
31600.000            2.6102944052
31800.000            2.6794617948
32000.000            2.6710094989
32200.000            2.6773987596
32400.000            2.6380572598
32600.000            2.6754129924
32800.000            2.6586148501
33000.000            2.7301933895
33200.000            2.7263337719
33400.000            2.7120253757
33600.000            2.6222154486
33800.000            2.6390580125
34000.000            2.7128535062
34200.000            2.7006567118
34400.000            2.7050303418
34600.000            2.6203463304
34800.000            2.6799475270
35000.000            2.5985362411
35200.000            2.6791147178
35400.000            2.6818495152
35600.000            2.6698219986
35800.000            2.7144865096
36000.000            2.6679623032
36200.000            2.6781051946
36400.000            2.6737431993
36600.000            2.7289378721
36800.000            2.6766091683
37000.000            2.7159844691
37200.000            2.6928228557
37400.000            2.6298661805
37600.000            2.6686194183
37800.000            2.6946249649
38000.000            2.6941976846
38200.000            2.5827297312
38400.000            2.6630783908
38600.000            2.6463747430
38800.000            2.6359579094
39000.000            2.6877558426
39200.000            2.6939063971
39400.000            2.6358170659
39600.000            2.6795626818
39800.000            2.6784397355
40000.000            2.6998784171
40200.000            2.6450343199
40400.000            2.6992160776
40600.000            2.6342706583
40800.000            2.6995313994
41000.000            2.7259872820
41200.000            2.7398192501
41400.000            2.6147622392
41600.000            2.6621971394
41800.000            2.6765885022
42000.000            2.6750224663
42200.000            2.6250832381
42400.000            2.6621652123
42600.000            2.6595614975
42800.000            2.6582884866
43000.000            2.6557573017
43200.000            2.6119060132
43400.000            2.5940907929
43600.000            2.6786808731
43800.000            2.6305976460
44000.000            2.6628343713
44200.000            2.6521661293
44400.000            2.6434931663
44600.000            2.5823195353
44800.000            2.6278722298
45000.000            2.6415365924
45200.000            2.6260856928
45400.000            2.6022105936
45600.000            2.5629707400
45800.000            2.6385879592
46000.000            2.6407049574
46200.000            2.5769273092
46400.000            2.6203843121
46600.000            2.6769140355
46800.000            2.6832268822
47000.000            2.7298826516
47200.000            2.6902316888
47400.000            2.6971256577
47600.000            2.7165445576
47800.000            2.7167721984
48000.000            2.6438730065
48200.000            2.7295376620
48400.000            2.6146858726
48600.000            2.6262568148
48800.000            2.6261494225
49000.000            2.6254577117
49200.000            2.6801634917
49400.000            2.6603657478
49600.000            2.7363225960
49800.000            2.7487599942
50000.000            2.7808376116
50200.000            2.6017221217
50400.000            2.6200736631
50600.000            2.6699496775
50800.000            2.6952469685
51000.000            2.6939949142
51200.000            2.6318529677
51400.000            2.6633561757
51600.000            2.7267020961
51800.000            2.6501193305
52000.000            2.7103562823
52200.000            2.6875125110
52400.000            2.6747708564
52600.000            2.7101842768
52800.000            2.6767578156
53000.000            2.7065842983
53200.000            2.6625083814
53400.000            2.6334893571
53600.000            2.7008307810
53800.000            2.6110244179
54000.000            2.6175626283
54200.000            2.6493122990
54400.000            2.6614670022
54600.000            2.6736831936
54800.000            2.6703167029
55000.000            2.6652776499
55200.000            2.6263103153
55400.000            2.7089872292
55600.000            2.7303293348
55800.000            2.7183743539
56000.000            2.6403709383
56200.000            2.6275906556
56400.000            2.6591528138
56600.000            2.6603111207
56800.000            2.6361954770
57000.000            2.7028905547
57200.000            2.6849979597
57400.000            2.7105299068
57600.000            2.6503752218
57800.000            2.6456067369
58000.000            2.6291757565
58200.000            2.6351976833
58400.000            2.5979333973
58600.000            2.6273516173
58800.000            2.6999891006
59000.000            2.7024726379
59200.000            2.6691845355
59400.000            2.7035828525
59600.000            2.7502460047
59800.000            2.6362450399
60000.000            2.7032594007
60200.000            2.7241866553
60400.000            2.6031720364
60600.000            2.5499940735
60800.000            2.6842985518
61000.000            2.6952948177
61200.000            2.6485368448
61400.000            2.6580135481
61600.000            2.6734927576
61800.000            2.6813239986
62000.000            2.6511613857
62200.000            2.6756285597
62400.000            2.6947762748
62600.000            2.6643594190
62800.000            2.6795154375
63000.000            2.6360375196
63200.000            2.6429842655
63400.000            2.7156438558
63600.000            2.6967959734
63800.000            2.6030597993
64000.000            2.6564513726
64200.000            2.6147272878
64400.000            2.6559687536
64600.000            2.6343252795
64800.000            2.6865246857
65000.000            2.6756423411
65200.000            2.7439598371
65400.000            2.7281305797
65600.000            2.6859719385
65800.000            2.6673303194
66000.000            2.7004515279
66200.000            2.6851433633
66400.000            2.7010951523
66600.000            2.6901007900
66800.000            2.6793429457
67000.000            2.6624047902
67200.000            2.6547965646
67400.000            2.6164479306
67600.000            2.6829714534
67800.000            2.5907148261
68000.000            2.6323818406
68200.000            2.6740360879
68400.000            2.6892607995
68600.000            2.6528027800
68800.000            2.7316394674
69000.000            2.7093405623
69200.000            2.6308640453
69400.000            2.6833569627
69600.000            2.6589550839
69800.000            2.7127130600
70000.000            2.6653942396
70200.000            2.6761451220
70400.000            2.6875364326
70600.000            2.7014488827
70800.000            2.6617316166
71000.000            2.7135348513
71200.000            2.6546051798
71400.000            2.7018557993
71600.000            2.7566654373
71800.000            2.6987915015
72000.000            2.6715100384
72200.000            2.6306305575
72400.000            2.7159153668
72600.000            2.7385964604
72800.000            2.6409188110
73000.000            2.6145085241
73200.000            2.6322606730
73400.000            2.6099120863
73600.000            2.6468611394
73800.000            2.6653445640
74000.000            2.6071517543
74200.000            2.7410179107
74400.000            2.6557894305
74600.000            2.6108011474
74800.000            2.6149029640
75000.000            2.5277410784
75200.000            2.5977655724
75400.000            2.5547565692
75600.000            2.6093834149
75800.000            2.6017921254
76000.000            2.5374988341
76200.000            2.5905310198
76400.000            2.6150072075
76600.000            2.5894806389
76800.000            2.5922688004
77000.000            2.6015508278
77200.000            2.5844124755
77400.000            2.6246443233
77600.000            2.5846024015
77800.000            2.6248179596
78000.000            2.5727772996
78200.000            2.5478478286
78400.000            2.5981101587
78600.000            2.5600831442
78800.000            2.6018603441
79000.000            2.6084872081
79200.000            2.6150146734
79400.000            2.6632645868
79600.000            2.6491794966
79800.000            2.5827038705
80000.000            2.5835048593
80200.000            2.6568255082
80400.000            2.6593707769
80600.000            2.6130794475
80800.000            2.5967582492
81000.000            2.5628271272
81200.000            2.5320035209
81400.000            2.5718844788
81600.000            2.6155329257
81800.000            2.5668021308
82000.000            2.5950008344
82200.000            2.5814694995
82400.000            2.5938538360
82600.000            2.6291343117
82800.000            2.5840623801
83000.000            2.5741009942
83200.000            2.6149516078
83400.000            2.6197433324
83600.000            2.6446864661
83800.000            2.5868794326
84000.000            2.5941509705
84200.000            2.5798211018
84400.000            2.6397987704
84600.000            2.5695104448
84800.000            2.5946930200
85000.000            2.6413623868
85200.000            2.7101608355
85400.000            2.7253856183
85600.000            2.6734384803
85800.000            2.7147359431
86000.000            2.6714832822
86200.000            2.6566536271
86400.000            2.6558419643
86600.000            2.6251516051
86800.000            2.6780994721
87000.000            2.7142720155
87200.000            2.6887759687
87400.000            2.6006323716
87600.000            2.6120221107
87800.000            2.7196262303
88000.000            2.6244141088
88200.000            2.5792436265
88400.000            2.7021523705
88600.000            2.6893369229
88800.000            2.6103571980
89000.000            2.6135169985
89200.000            2.5842702326
89400.000            2.6641303016
89600.000            2.7154098580
89800.000            2.6417563404
90000.000            2.7139054526
90200.000            2.6435726639
90400.000            2.7306678785
90600.000            2.6902376722
90800.000            2.6299965752
91000.000            2.5957336935
91200.000            2.6469619079
91400.000            2.6054343314
91600.000            2.6901996075
