# lambba_val.val 0.3125
#time (ps)      gradients (kcal/mol*lam)
0.000            14.8008795471
200.000            15.0953099178
400.000            14.9264723217
600.000            14.6465403859
800.000            14.0635843234
1000.000            13.8304951180
1200.000            14.6163262650
1400.000            14.2302221267
1600.000            14.5605507012
1800.000            14.8033453004
2000.000            14.6973923893
2200.000            14.5531399802
2400.000            14.3144366066
2600.000            14.5773202075
2800.000            14.3540406453
3000.000            14.6599662617
3200.000            14.4370904139
3400.000            14.7528961219
3600.000            14.4675558482
3800.000            14.6370960900
4000.000            14.9633539567
4200.000            14.4421155552
4400.000            14.7947101530
4600.000            14.5659242893
4800.000            14.8600752977
5000.000            14.5097334476
5200.000            14.6999437125
5400.000            14.7081279427
5600.000            14.9590461675
5800.000            14.8319714266
6000.000            14.6600027905
6200.000            14.6185750396
6400.000            14.5733688706
6600.000            14.5359902423
6800.000            14.3806536551
7000.000            14.9765579319
7200.000            14.6529752661
7400.000            14.4444949084
7600.000            14.9319903053
7800.000            14.9908225469
8000.000            14.7802264838
8200.000            15.0290941739
8400.000            14.8006255652
8600.000            14.5760093217
8800.000            14.5842122314
9000.000            14.9980477775
9200.000            14.7104421845
9400.000            14.7997629281
9600.000            14.9129786660
9800.000            14.2746538970
10000.000            14.4611289142
10200.000            14.7958160980
10400.000            14.5612681126
10600.000            14.4485566026
10800.000            14.7845208712
11000.000            14.4874879421
11200.000            14.9066400297
11400.000            14.5815901040
11600.000            14.8006028533
11800.000            15.0462094585
12000.000            14.7784379365
12200.000            14.7862648249
12400.000            14.8997309867
12600.000            14.7671097982
12800.000            14.6855437749
13000.000            14.6942617644
13200.000            14.5339223327
13400.000            14.8213330066
13600.000            14.9271290692
13800.000            14.7106569691
14000.000            14.5591543048
14200.000            14.0997271990
14400.000            14.2964088729
14600.000            14.4929354773
14800.000            14.8457216734
15000.000            14.8507708905
15200.000            14.6765815880
15400.000            14.9596057816
15600.000            14.6443027004
15800.000            14.5283467095
16000.000            14.3632621511
16200.000            14.6752662547
16400.000            14.8496221902
16600.000            14.6951244015
16800.000            14.7636606137
17000.000            14.8528677978
17200.000            14.5851791179
17400.000            14.5458460209
17600.000            14.6511417694
17800.000            14.5298134950
18000.000            14.5360399950
18200.000            14.3169834823
18400.000            14.1066878923
18600.000            14.4216122244
18800.000            14.8135459678
19000.000            14.5699166025
19200.000            14.8243815603
19400.000            14.2642770493
19600.000            14.4428820670
19800.000            14.5567072310
20000.000            14.2591734541
20200.000            14.4665632255
20400.000            14.4572863335
20600.000            14.7349726376
20800.000            14.6804544710
21000.000            14.8260506774
21200.000            14.4901927930
21400.000            14.7134773957
21600.000            14.5461801764
21800.000            14.4935084932
22000.000            14.6292683121
22200.000            14.6306041039
22400.000            15.0047981930
22600.000            15.1040560155
22800.000            14.8797382882
23000.000            14.4158505771
23200.000            14.6684463396
23400.000            14.8459132717
23600.000            14.7459870789
23800.000            14.8613612182
24000.000            14.6265592509
24200.000            14.5549106782
24400.000            14.4948674713
24600.000            14.8375116477
24800.000            14.5206588203
25000.000            14.4147628965
25200.000            14.7692456063
25400.000            14.3969374351
25600.000            14.5302653017
25800.000            14.3308362588
26000.000            14.6123794349
26200.000            14.5880477554
26400.000            14.0940817797
26600.000            14.8448662116
26800.000            14.7562254018
27000.000            14.7962344595
27200.000            14.8216216790
27400.000            14.9305733318
27600.000            14.6899032144
27800.000            14.7373029497
28000.000            14.5818784206
28200.000            14.7437619057
28400.000            14.4909722915
28600.000            14.5418242949
28800.000            14.6129510869
29000.000            14.7002297757
29200.000            14.8628503005
29400.000            14.4989471334
29600.000            14.7719602417
29800.000            14.5257713105
30000.000            14.1830135746
30200.000            14.6880706072
30400.000            14.7019425376
30600.000            14.5790690238
30800.000            14.8738229946
31000.000            14.7841853518
31200.000            14.8829419114
31400.000            14.8627691781
31600.000            14.7751532502
31800.000            14.6302155703
32000.000            14.4886428689
32200.000            14.4303854815
32400.000            14.5768155645
32600.000            14.5590874737
32800.000            14.6144967414
33000.000            14.8239806330
33200.000            14.3035914668
33400.000            14.6590555323
33600.000            14.3053207141
33800.000            14.5034268926
34000.000            14.3633120817
34200.000            14.7588079168
34400.000            14.7899528105
34600.000            14.8685571546
34800.000            14.6072829557
35000.000            14.8775166730
35200.000            14.6938572198
35400.000            14.7867139631
35600.000            14.7520735716
35800.000            14.5739989331
36000.000            14.7669387177
36200.000            15.0736199940
36400.000            14.2809814442
36600.000            14.7650895658
36800.000            14.5674784237
37000.000            14.6965270837
37200.000            14.7983148221
37400.000            14.4366680200
37600.000            14.8360956230
37800.000            14.8848855282
38000.000            14.8813593130
38200.000            14.5116351393
38400.000            14.9021424212
38600.000            14.9965818815
38800.000            14.4821402088
39000.000            14.0577108363
39200.000            14.5904537936
39400.000            14.5958683580
39600.000            14.3376855867
39800.000            14.5937412077
40000.000            14.9433523039
40200.000            14.9439538431
40400.000            14.1881478279
40600.000            14.3030077769
40800.000            14.9278945729
41000.000            14.5999836594
41200.000            14.5069718466
41400.000            14.7345333432
41600.000            14.5355319719
41800.000            14.7379419072
42000.000            14.5884086552
42200.000            14.5871672690
42400.000            14.7347934923
42600.000            14.5229642264
42800.000            14.6373919377
43000.000            14.5623356905
43200.000            14.2026912715
43400.000            14.6713015753
43600.000            15.0035862196
43800.000            14.9959651615
44000.000            14.7668487003
44200.000            14.5766411632
44400.000            14.9049227610
44600.000            14.8537169738
44800.000            14.5167823793
