# lambba_val.val 0.1875
#time (ps)      gradients (kcal/mol*lam)
0.000            17.1185354260
200.000            17.5577907473
400.000            17.3272653181
600.000            17.3061430732
800.000            17.5620909461
1000.000            17.2592606711
1200.000            17.4826390864
1400.000            17.4499221497
1600.000            17.2289387428
1800.000            16.9366306598
2000.000            17.7331554351
2200.000            17.4586879350
2400.000            17.6466618783
2600.000            17.1277221820
2800.000            17.2861436738
3000.000            17.2872148690
3200.000            17.3938637842
3400.000            17.2835130665
3600.000            17.6595606957
3800.000            17.5367188481
4000.000            17.5355621423
4200.000            17.5353152171
4400.000            17.3467821934
4600.000            17.0894758168
4800.000            17.0167110995
5000.000            17.3434338189
5200.000            17.5415624128
5400.000            16.8158286136
5600.000            17.1564472206
5800.000            17.0154765921
6000.000            16.9065573764
6200.000            17.0422717122
6400.000            17.0815130721
6600.000            16.9476455755
6800.000            17.0585690719
7000.000            16.9360451909
7200.000            17.3119216803
7400.000            17.3047373074
7600.000            17.2891775804
7800.000            17.2783872338
8000.000            16.9080317523
8200.000            17.1735655295
8400.000            16.8217270660
8600.000            17.1386065784
8800.000            17.5139547048
9000.000            17.8902081643
9200.000            17.3874529205
9400.000            17.1294661357
9600.000            17.3236731613
9800.000            17.4902539180
10000.000            17.4931786533
10200.000            17.1032684631
10400.000            17.0404979306
10600.000            17.1773988001
10800.000            17.6442000981
11000.000            17.2513856904
11200.000            17.5369220099
11400.000            17.5794364926
11600.000            17.3636469948
11800.000            17.2465182871
12000.000            17.2751069357
12200.000            17.3101759476
12400.000            17.0658584058
12600.000            17.5967067874
12800.000            17.5347353817
13000.000            17.5595338115
13200.000            17.4845283251
13400.000            17.3430241152
13600.000            17.6893585899
13800.000            17.3866277017
14000.000            17.3429155369
14200.000            16.8584153237
14400.000            17.6235140640
14600.000            17.3139116104
14800.000            16.9878943238
15000.000            17.0605649913
15200.000            17.1941816489
15400.000            17.3587849285
15600.000            16.9068006250
15800.000            16.7898759686
16000.000            17.4194858910
16200.000            17.7927468946
16400.000            17.4242841505
16600.000            17.6617165472
16800.000            17.3560870157
17000.000            17.3492845348
17200.000            17.3350280439
17400.000            17.5697030499
17600.000            17.1898408889
17800.000            17.2268232153
18000.000            17.6671380497
18200.000            17.0787505223
18400.000            17.1346722013
18600.000            17.3048023595
18800.000            16.7709143192
19000.000            16.5608067102
19200.000            17.0614445882
19400.000            17.2848943414
19600.000            17.5556341842
19800.000            17.5225960787
20000.000            17.5335891720
20200.000            18.0477411049
20400.000            17.1029689981
20600.000            17.0582569760
20800.000            17.4811322141
21000.000            17.7337712656
21200.000            17.7898793838
21400.000            17.1216027778
21600.000            17.0155820275
21800.000            17.5236440283
22000.000            17.6074169604
22200.000            17.2367002826
22400.000            17.5356511516
22600.000            17.8757708084
22800.000            17.7877841369
23000.000            17.4319876356
