# lambba_val.val 0.5000
#time (ps)      gradients (kcal/mol*lam)
0.000            10.7917150661
200.000            10.8229829480
400.000            10.7012826847
600.000            10.6273706310
800.000            10.6317559253
1000.000            10.8704668893
1200.000            10.6628664843
1400.000            10.8039334753
1600.000            10.8917040576
1800.000            10.8300505592
2000.000            10.5942977164
2200.000            10.7695724461
2400.000            10.5907741697
2600.000            10.1578946065
2800.000            10.2504470222
3000.000            10.6149347687
3200.000            10.7320892126
3400.000            10.7492353332
3600.000            10.3499115645
3800.000            10.5894561679
4000.000            10.7097858896
4200.000            10.6857371897
4400.000            10.5536199919
4600.000            10.5665743734
4800.000            11.0050249937
5000.000            10.7645807500
5200.000            10.5381813555
5400.000            10.5262811501
5600.000            10.3696279843
5800.000            10.6411606681
6000.000            10.7893416429
6200.000            10.5939016517
6400.000            10.5197587431
6600.000            10.7193803924
6800.000            10.8051717186
7000.000            10.7996243815
7200.000            10.4073474097
7400.000            10.5392226635
7600.000            10.5481224668
7800.000            10.4555071931
8000.000            10.6229826682
8200.000            10.7391863552
8400.000            10.5588206019
8600.000            10.3422829160
8800.000            10.9264491729
9000.000            11.0356650072
9200.000            10.7406164340
9400.000            10.6536868443
9600.000            10.4252919455
9800.000            10.5106168179
10000.000            10.3926541743
10200.000            10.4533813474
10400.000            10.3038775082
10600.000            10.5159487181
10800.000            10.5379919513
11000.000            10.3384743735
11200.000            10.8169655398
11400.000            10.3774221984
11600.000            10.3414118583
11800.000            10.7045606108
12000.000            10.4020040646
12200.000            10.5668783452
12400.000            10.5922475968
12600.000            10.4821968185
12800.000            10.6792478721
13000.000            10.6362018242
13200.000            10.6025506160
13400.000            10.3622930487
13600.000            10.5168866662
13800.000            10.6419157943
14000.000            10.7254262053
14200.000            10.7975471618
14400.000            10.1948327544
14600.000            10.3837240687
14800.000            10.4873529535
15000.000            10.7139167869
15200.000            10.6991341271
15400.000            10.4578467560
15600.000            10.5845460093
15800.000            10.5374341162
16000.000            10.4446219665
16200.000            10.7433810000
16400.000            10.5297346635
16600.000            10.5249929169
16800.000            10.4955986778
17000.000            10.2223984187
17200.000            10.7166895363
17400.000            10.5666997929
17600.000            10.5461445746
17800.000            10.6629137464
18000.000            10.7499517958
18200.000            10.5171339472
18400.000            10.5865760262
18600.000            10.7701410145
18800.000            10.6566401029
19000.000            10.6248299818
19200.000            10.8836183247
19400.000            10.6230057952
19600.000            10.5204587796
19800.000            10.5191158125
20000.000            10.4938439908
20200.000            10.5035824147
20400.000            10.7941270343
20600.000            10.8530201177
20800.000            10.6919002980
21000.000            10.9272395826
21200.000            10.9896340938
21400.000            10.7782619123
21600.000            10.7348015353
21800.000            10.5434800477
22000.000            10.9724417785
22200.000            10.3815020384
22400.000            10.5686610218
22600.000            10.6722421701
22800.000            10.5928641389
23000.000            10.6342724987
23200.000            10.4304447597
23400.000            10.7264809744
23600.000            10.5880517660
23800.000            10.6603142716
24000.000            10.5443556122
24200.000            10.5241735095
24400.000            10.6579491504
24600.000            10.7543625298
24800.000            10.6141323211
25000.000            10.5899409454
25200.000            10.7204208702
25400.000            10.6421439214
25600.000            10.8036754017
25800.000            10.6743363496
26000.000            10.1210731017
26200.000            10.6328479941
26400.000            10.7715423328
26600.000            10.7607528757
26800.000            10.7891623790
27000.000            10.8213593140
27200.000            10.7087076377
27400.000            10.5044958126
27600.000            10.6669033911
27800.000            10.7346345465
28000.000            10.6769948872
28200.000            10.8671580679
28400.000            10.6496322068
28600.000            10.9080226467
28800.000            10.7981130024
29000.000            10.6330498513
29200.000            10.4353869996
29400.000            10.6583194789
29600.000            10.4690431297
29800.000            10.5589907929
30000.000            10.6093330535
30200.000            10.5842893589
30400.000            10.4692044850
30600.000            10.6522574771
30800.000            10.2793595674
31000.000            10.4698518631
31200.000            10.5538988205
31400.000            10.4975706400
31600.000            10.6774063699
31800.000            10.7569810992
32000.000            10.5614458129
32200.000            10.6628638158
32400.000            10.7359159009
32600.000            10.5763221074
32800.000            10.6261698060
33000.000            10.6584535562
33200.000            10.6720554937
33400.000            10.5680995694
33600.000            10.6475041077
33800.000            10.6670527085
34000.000            10.7534392881
34200.000            10.7291887310
34400.000            10.6755487381
34600.000            10.7013641629
34800.000            10.7042046922
35000.000            10.9566254011
35200.000            10.4818965233
35400.000            10.7928932385
35600.000            10.5045995283
35800.000            10.5551762611
36000.000            10.7614893817
36200.000            11.0025378331
36400.000            10.5949063716
36600.000            10.8081668430
36800.000            10.4604271955
37000.000            10.6753535818
37200.000            10.6201383437
37400.000            10.8329018811
37600.000            10.5831486641
37800.000            10.6606005720
38000.000            10.4796276460
38200.000            10.4413862620
38400.000            10.5912687910
