# lambba_val.val 0.9375
#time (ps)      gradients (kcal/mol*lam)
0.000            1.3121682337
200.000            1.3363439779
400.000            1.3493248665
600.000            1.3450681109
800.000            1.3451162862
1000.000            1.3445092499
1200.000            1.2992920096
1400.000            1.3253485363
1600.000            1.3234528813
1800.000            1.3238778666
2000.000            1.3425860619
2200.000            1.3295048852
2400.000            1.3491916134
2600.000            1.3339747057
2800.000            1.3128884144
3000.000            1.3355360925
3200.000            1.3152206893
3400.000            1.3429854059
3600.000            1.3131499807
3800.000            1.3200099649
4000.000            1.3193745831
4200.000            1.3423607990
4400.000            1.3828684867
4600.000            1.3745164078
4800.000            1.3322781801
5000.000            1.2713604998
5200.000            1.2786600571
5400.000            1.3030370714
5600.000            1.3124260641
5800.000            1.2932973429
6000.000            1.3625998831
6200.000            1.3161236148
6400.000            1.3429093477
6600.000            1.3572530511
6800.000            1.3292953190
7000.000            1.3127230385
7200.000            1.3385003334
7400.000            1.3277816687
7600.000            1.3596320307
7800.000            1.3261729961
8000.000            1.3340348952
8200.000            1.3493868646
8400.000            1.3194311850
8600.000            1.3461084167
8800.000            1.3401780194
9000.000            1.3265278888
9200.000            1.3172177354
9400.000            1.3381915583
9600.000            1.3477380518
9800.000            1.3382981204
10000.000            1.3095634693
10200.000            1.3176114281
10400.000            1.3397307195
10600.000            1.3218890632
10800.000            1.3433051930
11000.000            1.3180595878
11200.000            1.3399388743
11400.000            1.3302941800
11600.000            1.3469509333
11800.000            1.3206847988
12000.000            1.3405584526
12200.000            1.3483954932
12400.000            1.3455171542
12600.000            1.3333660386
12800.000            1.3401590967
13000.000            1.3602119314
13200.000            1.3231123333
13400.000            1.3545760179
13600.000            1.3372033179
13800.000            1.3315991595
14000.000            1.3204580594
14200.000            1.3424734216
14400.000            1.3013603936
14600.000            1.3022423091
14800.000            1.3457275091
15000.000            1.3603620197
15200.000            1.3089362354
15400.000            1.3228465981
15600.000            1.3106961705
15800.000            1.3325541682
16000.000            1.3147017550
16200.000            1.3448846070
16400.000            1.3337449300
16600.000            1.2918851015
16800.000            1.3270607645
17000.000            1.3401678850
17200.000            1.3353242907
17400.000            1.2952080067
17600.000            1.3028920710
17800.000            1.3389311776
18000.000            1.3281979487
18200.000            1.3016832287
18400.000            1.2908914292
18600.000            1.3318136714
18800.000            1.3219943978
19000.000            1.3550119203
19200.000            1.3415878532
19400.000            1.3458015155
19600.000            1.3182624057
19800.000            1.3174950341
20000.000            1.3103526337
20200.000            1.3231072572
20400.000            1.2915352078
20600.000            1.3365965484
20800.000            1.3121519677
21000.000            1.3240933035
21200.000            1.3125924244
21400.000            1.2979877298
21600.000            1.3381853733
21800.000            1.3073205476
22000.000            1.3084254726
22200.000            1.3216104303
22400.000            1.3486875872
22600.000            1.2809875880
22800.000            1.3495384532
23000.000            1.3524129377
23200.000            1.3353870360
23400.000            1.3586209539
23600.000            1.3588298856
23800.000            1.3641310150
24000.000            1.3248992676
24200.000            1.3441517835
24400.000            1.3490402917
24600.000            1.3252235082
24800.000            1.3082924746
25000.000            1.3011271074
25200.000            1.3249943967
25400.000            1.3287225699
25600.000            1.3092255601
25800.000            1.3516506836
26000.000            1.3544926124
