# lambba_val.val 0.3750
#time (ps)      gradients (kcal/mol*lam)
0.000            13.4218825973
200.000            13.0790040673
400.000            13.6020692646
600.000            13.4998643507
800.000            13.5965161161
1000.000            13.4837410365
1200.000            13.3626413636
1400.000            13.2635671339
1600.000            13.5050340654
1800.000            13.7506783854
2000.000            13.2652344720
2200.000            13.3614891646
2400.000            13.3029728734
2600.000            13.1720791532
2800.000            13.4935787879
3000.000            13.7185848696
3200.000            13.4224324269
3400.000            13.2381455797
3600.000            13.3049730624
3800.000            13.7080712168
4000.000            13.8585580128
4200.000            13.2875067218
4400.000            13.4519812611
4600.000            13.5110410961
4800.000            13.0064893588
5000.000            13.4693919190
5200.000            12.9720414551
5400.000            13.1323788706
5600.000            13.1022164593
5800.000            13.0592323206
6000.000            12.8947056566
6200.000            13.2370886758
6400.000            13.1393154881
6600.000            12.7961339944
6800.000            13.2731638308
7000.000            12.9867844432
7200.000            13.4166605207
7400.000            13.4778430585
7600.000            13.0429681689
7800.000            13.2644877071
8000.000            13.1906896873
8200.000            13.2655828595
8400.000            13.2548731609
8600.000            13.1537127572
8800.000            13.4157898781
9000.000            13.5254820100
9200.000            13.3173082333
9400.000            13.6472821345
9600.000            13.2063051563
9800.000            13.3516839096
10000.000            13.5920920396
10200.000            13.7541573978
10400.000            13.5607604695
10600.000            13.4327696029
10800.000            13.1366513170
11000.000            13.5374107980
11200.000            12.9585068231
11400.000            13.0160556941
11600.000            13.2131616002
11800.000            13.5007903202
12000.000            13.3016089734
12200.000            13.3876841687
12400.000            13.3183063116
12600.000            13.4033406140
12800.000            13.4858904836
13000.000            13.0855717202
13200.000            12.8140135967
13400.000            13.3463781014
13600.000            13.4994565446
13800.000            13.4153527185
14000.000            13.5734395804
14200.000            13.9103875767
14400.000            13.3570316429
14600.000            13.2149848380
14800.000            13.4018016011
15000.000            13.3969315293
15200.000            13.4679203895
15400.000            13.3897988660
15600.000            13.0490448178
15800.000            13.1052971536
16000.000            13.1828262701
16200.000            13.3921880037
16400.000            13.3275607882
16600.000            13.1814103047
16800.000            13.3122937660
17000.000            13.3841303197
17200.000            13.2149028854
17400.000            13.1527619410
17600.000            13.3800763938
17800.000            13.2851193631
18000.000            13.3103163482
18200.000            13.1690386050
18400.000            13.4135041003
18600.000            13.2940013171
18800.000            13.2011899976
19000.000            13.1118414423
19200.000            13.4503464787
19400.000            12.8592516691
19600.000            13.4073444907
19800.000            13.3063391565
20000.000            13.2519324146
20200.000            13.1656094639
20400.000            13.4725304901
20600.000            13.1814655130
20800.000            13.0113950699
21000.000            13.4170454370
21200.000            13.2434371559
21400.000            13.5677585811
21600.000            13.3788743828
21800.000            13.6460513630
22000.000            13.5403230803
22200.000            13.4755247250
22400.000            13.7794114295
22600.000            13.3433972090
22800.000            13.2524269766
23000.000            13.1671083900
23200.000            12.9880659162
23400.000            13.2702542170
23600.000            13.1163080369
23800.000            13.2472583886
24000.000            13.1714518185
24200.000            13.5831236262
24400.000            13.5975012670
24600.000            13.5226187688
24800.000            13.2065921090
25000.000            13.3374096287
25200.000            13.3075350596
25400.000            13.3575181994
25600.000            13.3927200433
25800.000            13.3242644198
26000.000            13.6145334130
26200.000            13.4700700738
26400.000            13.4594690721
26600.000            13.1117695114
26800.000            13.2954111153
27000.000            13.1715328816
27200.000            13.2682215316
27400.000            13.1702913175
27600.000            13.3924134623
27800.000            13.0967412903
28000.000            13.0810759500
28200.000            13.1646978450
28400.000            13.0991438298
28600.000            13.5105126738
28800.000            13.2268174414
29000.000            13.0665744315
29200.000            13.2561181051
29400.000            13.5646476438
29600.000            13.4843826625
29800.000            13.2091870770
30000.000            13.4397525930
30200.000            13.3894138904
30400.000            13.3686218279
30600.000            13.2271462599
30800.000            13.3989597672
31000.000            13.6638118909
31200.000            13.2058462336
31400.000            12.8764301675
31600.000            12.8364553852
31800.000            12.8969468408
32000.000            12.9384124844
32200.000            12.7261135625
