# lambba_val.val 0.1250
#time (ps)      gradients (kcal/mol*lam)
0.000            6.2006644132
200.000            1.9998747219
400.000            -5.2785549637
600.000            4.9443166809
800.000            1.0981711554
1000.000            3.0173596051
1200.000            5.1097420779
1400.000            1.4377933623
1600.000            -0.5703344744
1800.000            1.0380637682
2000.000            4.8897888365
2200.000            1.1663724057
2400.000            5.4181566991
2600.000            2.4285810476
2800.000            -2.0504172682
3000.000            -6.2014598041
3200.000            1.7831494523
3400.000            0.3471793728
3600.000            1.0674479856
3800.000            3.2720123126
4000.000            4.3991575252
4200.000            -7.0918648407
4400.000            3.3499858589
4600.000            -12.3053007191
4800.000            1.8329852256
5000.000            0.0241543740
5200.000            -3.7320907044
5400.000            1.9164535277
5600.000            3.8095238735
5800.000            4.8295653636
6000.000            0.5078803785
6200.000            -3.4195111121
6400.000            1.2068984170
6600.000            4.0561067642
6800.000            0.3253097415
7000.000            3.7599214160
7200.000            3.9248470622
7400.000            2.8582325382
7600.000            -1.8671655440
7800.000            -5.9338238419
8000.000            2.8616256486
8200.000            4.5875688771
8400.000            3.7407673025
8600.000            0.9114573194
8800.000            6.0978765803
9000.000            3.8037305481
9200.000            4.5602832511
9400.000            3.9017499079
9600.000            5.8345742087
9800.000            5.4149052268
10000.000            -1.6114101886
10200.000            1.5563297987
10400.000            0.5163621483
10600.000            -2.2981779696
10800.000            -14.0553489766
11000.000            0.0193737632
11200.000            1.3547685531
11400.000            -2.3816490232
11600.000            4.6500860682
11800.000            5.6809407235
12000.000            2.3457606632
12200.000            3.7873782707
12400.000            4.1645177789
12600.000            3.4757487889
12800.000            2.6359931158
13000.000            5.1281613161
13200.000            4.1024373798
13400.000            4.9781650616
13600.000            7.2592511286
13800.000            5.5600287528
14000.000            5.5792696104
14200.000            1.2031427108
14400.000            5.3816433468
14600.000            0.9080413784
14800.000            3.1069543088
15000.000            1.0181934886
15200.000            4.7627080055
15400.000            5.1962593250
15600.000            4.6737928917
15800.000            4.9826722470
16000.000            5.6189384580
16200.000            5.1389671163
16400.000            4.1860387333
16600.000            6.1312396498
16800.000            1.0779626642
17000.000            4.4096107809
17200.000            0.7972899528
17400.000            0.6576861360
17600.000            4.5472801606
17800.000            3.7363925754
18000.000            2.2156696931
18200.000            3.2323065507
18400.000            5.0223467045
18600.000            3.4624731852
18800.000            4.5564830937
19000.000            3.2738220122
19200.000            -0.1978523810
19400.000            -1.2463840989
19600.000            -12.6415202742
19800.000            0.7554896556
20000.000            1.6470610758
20200.000            -0.6362971715
20400.000            -6.8056707656
20600.000            -1.1944323177
20800.000            -3.5314292118
21000.000            -13.0108438764
21200.000            2.1210197000
21400.000            3.6315725078
21600.000            -2.1408309583
21800.000            -11.1412533419
22000.000            -0.3526970166
22200.000            -3.5907850605
22400.000            -3.9179483552
22600.000            2.6646267138
22800.000            0.5085456024
23000.000            -1.3542148571
23200.000            5.9561413969
23400.000            6.5067573742
23600.000            -1.2831312118
23800.000            -8.4362071670
24000.000            -3.7121739929
24200.000            -11.9584919037
24400.000            4.7135757436
24600.000            0.1550013293
24800.000            2.2386223570
25000.000            2.3935586692
25200.000            -0.3236617524
25400.000            3.6821926897
25600.000            2.3678511467
25800.000            -6.5195647510
26000.000            -2.5836232992
26200.000            -0.6700426549
26400.000            5.3464570928
26600.000            3.3502284137
26800.000            -0.0388233458
27000.000            -38.7906882613
27200.000            4.1535338890
27400.000            5.4979778436
27600.000            5.0314053191
27800.000            5.3600400899
28000.000            7.5136727974
28200.000            3.9312286970
28400.000            -0.1896389296
28600.000            -6.8929099013
28800.000            4.9762877600
29000.000            -1.0364382425
29200.000            5.1535944397
29400.000            2.0492402581
29600.000            3.2066942403
29800.000            2.1911841893
30000.000            -18.2333423366
30200.000            1.0704193662
30400.000            3.1604451384
30600.000            -0.8574899786
