# lambda_val.val 1.00000
    1         0.0179429330
    2         0.0176428285
    3         0.0179371762
    4         0.0177712167
    5         0.0179561290
    6         0.0178855853
    7         0.0179853355
    8         0.0178374048
    9         0.0179733252
   10         0.0179135495
   11         0.0178789317
   12         0.0177147283
   13         0.0177244101
   14         0.0178135838
   15         0.0178757512
   16         0.0179056282
   17         0.0179721918
   18         0.0177723899
   19         0.0178846490
   20         0.0179466176
   21         0.0178541691
   22         0.0177170223
   23         0.0177247353
   24         0.0178747825
   25         0.0176722117
   26         0.0179018653
   27         0.0178269591
   28         0.0176895001
   29         0.0179232523
   30         0.0179198156
   31         0.0179430446
   32         0.0179385589
   33         0.0178014544
   34         0.0177602188
   35         0.0179241197
   36         0.0179022096
   37         0.0179419617
   38         0.0178798105
   39         0.0177192912
   40         0.0179269678
   41         0.0177570961
   42         0.0177981342
   43         0.0178846098
   44         0.0178901601
   45         0.0178460445
   46         0.0176242286
   47         0.0175921233
   48         0.0177457516
   49         0.0178288968
   50         0.0177564085
   51         0.0178865304
   52         0.0178558058
   53         0.0177630199
   54         0.0176140291
   55         0.0178971076
   56         0.0177888137
   57         0.0176587060
   58         0.0179708688
   59         0.0179595873
   60         0.0180225534
   61         0.0179438073
   62         0.0179643847
   63         0.0178329130
   64         0.0178398270
   65         0.0176023202
   66         0.0179059314
   67         0.0177948973
   68         0.0179949286
   69         0.0178437824
   70         0.0178204289
   71         0.0179963762
   72         0.0178424797
   73         0.0178088635
   74         0.0178979065
   75         0.0177429954
   76         0.0178153084
   77         0.0177688861
   78         0.0177845964
   79         0.0175365405
   80         0.0177752019
   81         0.0175304783
   82         0.0177723594
   83         0.0178218546
   84         0.0179025641
   85         0.0177207998
   86         0.0179227143
   87         0.0177399463
   88         0.0179182039
   89         0.0179589413
   90         0.0178100329
   91         0.0179467320
   92         0.0179423968
   93         0.0179743486
   94         0.0178839469
   95         0.0178485341
   96         0.0179848073
   97         0.0179573569
   98         0.0177980302
   99         0.0177918239
  100         0.0177440526
