# lambba_val.val 0.8125
#time (ps)      gradients (kcal/mol*lam)
0.000            0.0030623236
200.000            0.0028178158
400.000            0.0029199775
600.000            0.0026228049
800.000            0.0035617987
1000.000            0.0027823200
1200.000            0.0027550922
1400.000            0.0030903180
1600.000            0.0027524320
1800.000            0.0027710449
2000.000            0.0027903033
2200.000            0.0026733594
2400.000            0.0028970178
2600.000            0.0025625214
2800.000            0.0028711121
3000.000            0.0031911612
3200.000            0.0029086528
3400.000            0.0029285218
3600.000            0.0026197750
3800.000            0.0024242120
4000.000            0.0021632899
4200.000            0.0025652692
4400.000            0.0026489982
4600.000            0.0026256619
4800.000            0.0025255572
5000.000            0.0029641234
5200.000            0.0024259030
5400.000            0.0025977752
5600.000            0.0024970879
5800.000            0.0026270382
6000.000            0.0025764731
6200.000            0.0026336770
6400.000            0.0028313996
6600.000            0.0023437163
6800.000            0.0025559838
7000.000            0.0026960401
7200.000            0.0028652260
7400.000            0.0032182929
7600.000            0.0030683145
7800.000            0.0025251921
8000.000            0.0023696799
8200.000            0.0025655904
8400.000            0.0025959512
8600.000            0.0023648740
8800.000            0.0025276888
9000.000            0.0027987298
9200.000            0.0026571062
9400.000            0.0024492812
9600.000            0.0026029520
9800.000            0.0024940884
10000.000            0.0022832745
10200.000            0.0025869551
10400.000            0.0025385070
10600.000            0.0024596764
10800.000            0.0025418513
11000.000            0.0025203194
11200.000            0.0027086087
11400.000            0.0029773515
11600.000            0.0029478185
11800.000            0.0027349272
12000.000            0.0024307219
12200.000            0.0027409409
12400.000            0.0023241063
12600.000            0.0025561218
12800.000            0.0025860789
13000.000            0.0028439897
13200.000            0.0035931623
13400.000            0.0032499426
13600.000            0.0028993403
13800.000            0.0032710903
14000.000            0.0036258892
14200.000            0.0031329529
14400.000            0.0028078639
14600.000            0.0025229637
14800.000            0.0024641954
15000.000            0.0024294997
15200.000            0.0024382590
15400.000            0.0027899450
15600.000            0.0026180732
15800.000            0.0023577218
16000.000            0.0023190811
16200.000            0.0024607178
16400.000            0.0022280036
16600.000            0.0026407555
16800.000            0.0030256253
17000.000            0.0031513551
17200.000            0.0031170999
17400.000            0.0029591284
17600.000            0.0032311168
17800.000            0.0025260966
18000.000            0.0025929932
18200.000            0.0027209671
18400.000            0.0029866904
18600.000            0.0027289180
18800.000            0.0028402688
19000.000            0.0025862115
19200.000            0.0024751595
19400.000            0.0025473932
19600.000            0.0028891615
19800.000            0.0033266756
20000.000            0.0029632281
20200.000            0.0030369762
20400.000            0.0029368132
20600.000            0.0031352155
20800.000            0.0025218158
21000.000            0.0034559611
21200.000            0.0029587514
21400.000            0.0027604736
21600.000            0.0028019856
21800.000            0.0025041274
22000.000            0.0023612842
22200.000            0.0024334737
22400.000            0.0027159544
22600.000            0.0024002924
22800.000            0.0026381034
23000.000            0.0027712206
23200.000            0.0029367089
23400.000            0.0033050045
23600.000            0.0030997813
23800.000            0.0028739931
24000.000            0.0027252408
24200.000            0.0024898248
24400.000            0.0024410722
24600.000            0.0025274670
24800.000            0.0026678357
25000.000            0.0024719790
25200.000            0.0023723199
25400.000            0.0027902379
25600.000            0.0025630678
25800.000            0.0023655469
26000.000            0.0025297200
26200.000            0.0025373915
26400.000            0.0024756536
26600.000            0.0024423744
26800.000            0.0024378091
27000.000            0.0026188291
27200.000            0.0025382641
27400.000            0.0026180891
27600.000            0.0022712080
27800.000            0.0024402886
28000.000            0.0028124757
28200.000            0.0025589669
28400.000            0.0027154564
28600.000            0.0023177907
28800.000            0.0026019691
29000.000            0.0027761849
29200.000            0.0025841269
