# lambba_val.val 0.0000
#time (ps)      gradients (kcal/mol*lam)
0.000            -150.9203744730
200.000            -153.6576583220
400.000            -185.4255856930
600.000            -159.3913391490
800.000            -139.3988055030
1000.000            -153.9912878310
1200.000            -127.4158647430
1400.000            -148.3590663390
1600.000            -145.8065767080
1800.000            -164.5829343630
2000.000            -187.6303626580
2200.000            -151.1947603170
2400.000            -127.4832064160
2600.000            -138.4609736310
2800.000            -149.9154665920
3000.000            -159.1859672380
3200.000            -120.5457237290
3400.000            -136.5579464950
3600.000            -144.7372589460
3800.000            -146.9356297320
4000.000            -155.2817969650
4200.000            -196.5953811330
4400.000            -150.0431145860
4600.000            -170.3199739420
4800.000            -180.0151622120
5000.000            -138.2347221900
5200.000            -163.8819117040
5400.000            -151.7215026480
5600.000            -118.5662096740
5800.000            -169.0027543090
6000.000            -125.7001989220
6200.000            -112.3923917940
6400.000            -125.3208425900
6600.000            -174.4037324860
6800.000            -153.3633103190
7000.000            -151.3116732320
7200.000            -126.0783627310
7400.000            -131.0772282010
7600.000            -147.9234443880
7800.000            -146.4169575380
8000.000            -156.1528309450
8200.000            -153.2888401930
8400.000            -137.8563822600
8600.000            -124.6636948150
8800.000            -120.4177531430
9000.000            -128.7891359220
9200.000            -115.2504128150
9400.000            -129.7421349550
9600.000            -146.3177510100
9800.000            -139.1393763050
10000.000            -160.7077629760
10200.000            -141.0695705500
10400.000            -140.5415354790
10600.000            -114.6785064180
10800.000            -172.1716769280
11000.000            -163.5670903760
11200.000            -184.4852531400
11400.000            -127.6907368470
11600.000            -159.1324922770
11800.000            -127.6094822080
12000.000            -138.6932428360
12200.000            -147.3864965270
12400.000            -144.1112389270
12600.000            -133.4924353670
12800.000            -140.8319133470
13000.000            -170.2085385680
13200.000            -150.3000021860
13400.000            -150.3330542270
13600.000            -145.4214409980
13800.000            -144.1438213120
14000.000            -138.2475386990
14200.000            -157.4720661850
14400.000            -144.4923309700
14600.000            -164.7855007910
14800.000            -173.2202817930
15000.000            -139.0902776840
15200.000            -140.5011640390
15400.000            -156.8624064430
15600.000            -167.0150491450
15800.000            -160.5833669940
16000.000            -139.5533952660
16200.000            -162.0875773170
16400.000            -170.1594559580
16600.000            -128.5292524860
16800.000            -161.6841748350
17000.000            -166.8627809770
17200.000            -148.1287148960
17400.000            -144.6888149970
17600.000            -139.6712202150
17800.000            -136.1292608650
18000.000            -148.5854826340
18200.000            -211.3920778360
18400.000            -168.2698644230
18600.000            -141.7040390400
18800.000            -143.2186671870
19000.000            -163.6527486330
19200.000            -133.7198900050
19400.000            -131.1541658000
19600.000            -146.9613327240
19800.000            -138.0512373160
20000.000            -138.2501366320
20200.000            -142.2743152800
20400.000            -134.4246544940
20600.000            -124.5542821640
20800.000            -144.8582232370
21000.000            -137.3166413690
21200.000            -137.4441203580
21400.000            -147.5310586600
21600.000            -104.1620534720
21800.000            -136.3297280730
22000.000            -127.6555523780
22200.000            -126.5306734810
22400.000            -142.0691515120
22600.000            -152.5693633740
22800.000            -114.2821126030
23000.000            -140.0211904320
23200.000            -141.6663242400
23400.000            -131.4955256570
23600.000            -132.7773170980
23800.000            -119.6269342730
24000.000            -138.1775208170
24200.000            -145.4411428300
24400.000            -160.8032934970
24600.000            -170.7236503900
24800.000            -161.9064816400
25000.000            -127.5385481410
25200.000            -161.0874407140
25400.000            -166.8321987810
25600.000            -134.2363580180
25800.000            -129.0874783730
26000.000            -153.6606096830
26200.000            -133.1087056600
26400.000            -136.5583349100
26600.000            -144.7269259210
26800.000            -145.6931186110
27000.000            -154.4098788220
27200.000            -159.1174253330
27400.000            -109.9212582050
27600.000            -147.7210226520
27800.000            -129.1696432670
28000.000            -159.4730753040
28200.000            -149.4763050240
28400.000            -147.1909974730
28600.000            -186.0305405730
28800.000            -127.4487786150
29000.000            -134.8079809610
29200.000            -124.0464915200
29400.000            -153.3506829770
29600.000            -130.7097905760
29800.000            -137.2668685070
30000.000            -165.9558106040
30200.000            -126.9191578620
30400.000            -148.8028147620
30600.000            -114.6497150820
30800.000            -137.0110198430
31000.000            -120.0734905510
31200.000            -153.7005506050
31400.000            -176.0001181360
31600.000            -157.5927150000
31800.000            -132.6876133950
32000.000            -116.8581146840
32200.000            -134.7923767590
32400.000            -137.0344101350
32600.000            -124.1923582530
32800.000            -145.5992947440
33000.000            -147.8495008460
33200.000            -155.5161778430
33400.000            -143.2580684790
33600.000            -147.6267991030
33800.000            -171.6164528070
34000.000            -158.2459430450
34200.000            -153.0098591920
34400.000            -175.7086361020
34600.000            -149.6955472050
