# lambba_val.val 0.3750
#time (ps)      gradients (kcal/mol*lam)
0.000            3.7341525595
200.000            3.0557484623
400.000            3.2105704559
600.000            3.0700246585
800.000            3.1212042826
1000.000            3.2582016273
1200.000            4.1108983928
1400.000            3.1389929721
1600.000            2.9638909062
1800.000            2.8188126260
2000.000            2.9122944743
2200.000            2.9200191413
2400.000            2.8851295179
2600.000            2.8572616726
2800.000            2.9137582948
3000.000            2.8844788842
3200.000            3.1795151823
3400.000            2.8573426764
3600.000            2.8577490593
3800.000            3.2577381978
4000.000            3.4599876080
4200.000            3.4487876110
4400.000            3.1991319247
4600.000            3.1994454142
4800.000            2.9229174288
5000.000            2.9687918614
5200.000            2.9811241207
5400.000            3.2291956312
5600.000            3.2423837199
5800.000            2.8578372088
6000.000            3.1458707462
6200.000            2.9450461133
6400.000            2.9136096297
6600.000            2.8875389184
6800.000            2.9156241456
7000.000            2.9497083090
7200.000            2.9774355717
7400.000            3.0864638638
7600.000            2.9826490558
7800.000            3.1572786667
8000.000            3.3505767122
8200.000            2.8205580503
8400.000            3.2817992558
8600.000            2.9283472215
8800.000            3.0205083165
9000.000            2.7783568021
9200.000            3.0871143789
9400.000            3.3507146144
9600.000            2.9338259426
9800.000            3.0178885433
10000.000            3.2036770859
10200.000            2.9170554815
10400.000            2.9924749709
10600.000            3.0634719018
10800.000            3.1931033266
11000.000            2.8907303614
11200.000            2.8780468860
11400.000            2.7680519149
11600.000            2.8452889078
11800.000            2.8821093392
12000.000            2.8164666290
12200.000            3.4382808963
12400.000            3.8031976190
12600.000            3.1021886465
12800.000            3.3135710394
13000.000            3.1225336581
13200.000            3.0498609448
13400.000            3.1316513356
13600.000            2.9812471385
13800.000            2.9462305241
14000.000            2.8988201919
14200.000            3.0178434219
14400.000            2.8707000785
14600.000            2.9304320019
14800.000            2.8944234112
15000.000            2.7588889975
15200.000            2.7703318220
15400.000            2.7849819285
15600.000            2.8671338951
15800.000            2.9102895354
16000.000            3.1433190375
16200.000            3.2806823699
16400.000            3.6432509609
16600.000            3.0853294667
16800.000            3.3311067017
17000.000            3.6158815381
17200.000            3.0900910077
17400.000            3.0158080858
17600.000            3.1387556950
17800.000            3.2278062025
18000.000            3.3370976740
18200.000            3.6343034092
18400.000            3.2838678829
18600.000            3.2734147991
18800.000            3.1128010516
19000.000            3.0491476785
19200.000            3.0560329896
19400.000            2.7470535536
19600.000            3.0485133167
19800.000            3.3444888319
20000.000            3.4630785552
20200.000            3.4574563875
20400.000            3.8993493905
20600.000            3.6267091013
20800.000            3.9603053905
21000.000            3.3431996736
21200.000            2.8642354653
21400.000            3.0422474296
21600.000            3.0336548181
21800.000            3.0561419771
22000.000            2.8259759296
22200.000            2.9049399163
22400.000            2.9576439892
22600.000            3.0721218446
22800.000            2.9341905783
23000.000            2.9923206070
23200.000            3.0568645416
23400.000            3.0378788224
23600.000            2.8833693219
23800.000            2.8288077477
24000.000            3.1863880760
24200.000            3.4321819743
24400.000            3.6285100601
24600.000            3.1880252719
24800.000            3.5018273931
25000.000            3.0859720000
25200.000            2.9591161828
25400.000            3.0645007865
25600.000            3.3093646947
25800.000            4.1863706947
26000.000            3.1439116283
26200.000            3.0617389245
26400.000            3.0080505310
26600.000            2.7798567481
26800.000            2.8815349001
27000.000            3.1730684836
27200.000            2.9554807786
27400.000            3.3083027681
27600.000            2.8468130067
27800.000            2.8730892222
28000.000            2.8414009981
28200.000            2.8635771997
28400.000            3.0702383876
28600.000            3.4448241888
28800.000            3.3746841547
29000.000            3.2914103389
29200.000            3.2093630308
29400.000            3.0336417128
29600.000            3.0670307379
29800.000            3.0337099493
30000.000            3.0390869768
30200.000            2.8258012555
30400.000            2.8869701069
30600.000            2.8558216789
30800.000            2.8759025980
31000.000            2.8000957670
31200.000            3.0316991812
31400.000            2.9466804925
31600.000            2.8908514401
31800.000            3.2245190968
32000.000            2.9364158108
32200.000            3.6741396608
32400.000            3.5054187374
32600.000            3.5356067782
32800.000            3.6363013270
33000.000            3.8698763180
33200.000            3.9945479383
33400.000            3.3390718540
33600.000            3.0102620415
33800.000            2.9715940888
34000.000            2.8244042661
34200.000            2.8835191078
34400.000            2.7497252559
34600.000            2.9695756532
34800.000            2.7769897770
35000.000            2.9782272920
35200.000            2.9333985022
35400.000            3.0786730417
35600.000            2.9805863231
35800.000            3.2575034824
36000.000            3.5175086198
36200.000            3.2721719423
36400.000            4.0170373506
36600.000            3.5501507140
36800.000            3.1477740686
37000.000            3.3302712300
37200.000            2.9963774505
37400.000            2.9785442149
37600.000            3.1107517384
37800.000            2.9609078078
38000.000            3.2511504955
38200.000            3.1642247663
38400.000            3.2655234991
38600.000            3.3005933886
38800.000            3.2708521259
39000.000            3.4298548289
39200.000            3.5498970404
39400.000            3.2041724544
39600.000            3.2734792523
39800.000            3.2049888731
40000.000            3.0264870848
40200.000            3.1448720512
40400.000            2.8599021712
40600.000            2.7213595278
40800.000            2.7336693835
41000.000            2.7785033086
41200.000            3.1128106463
41400.000            3.0776498914
41600.000            2.8813415466
41800.000            3.1210959000
42000.000            2.9423628239
42200.000            3.2405730359
42400.000            3.9855146388
42600.000            3.3603386011
42800.000            2.8378246270
43000.000            3.0487875258
43200.000            3.0490487957
43400.000            2.9616470297
43600.000            2.9844286250
43800.000            3.1946310785
44000.000            3.1014774912
44200.000            3.5027349262
44400.000            3.4015477189
44600.000            3.7548058600
44800.000            3.9022023669
45000.000            3.8607544362
45200.000            3.0950020083
45400.000            3.4453776653
45600.000            3.0868364695
45800.000            3.3628043070
46000.000            3.8150561187
46200.000            3.2387522650
46400.000            3.0410297456
46600.000            2.9734959525
46800.000            2.8826606632
47000.000            2.9389598104
47200.000            3.2393226599
47400.000            3.2352073051
47600.000            3.0604803413
47800.000            3.6390560492
48000.000            3.4834716651
48200.000            3.1933187576
48400.000            2.8877002915
48600.000            3.0832823418
48800.000            3.3675946500
49000.000            3.0635364736
49200.000            3.2720230874
49400.000            3.1638359006
49600.000            3.2158930816
49800.000            2.8401223953
50000.000            3.1644227334
50200.000            2.8736048653
50400.000            3.1946805347
50600.000            3.3023083505
50800.000            3.2832307578
51000.000            3.6162301450
51200.000            3.5455521887
51400.000            3.3818081661
51600.000            3.5710259625
51800.000            3.2683930616
52000.000            3.3183132841
52200.000            3.2928691129
52400.000            3.2964727561
52600.000            2.9516115484
52800.000            2.9625316434
53000.000            3.2630247216
53200.000            2.8115968063
53400.000            2.8278015394
53600.000            3.0450764547
53800.000            3.1392293359
54000.000            2.7134031401
54200.000            2.9037130645
54400.000            2.8731897772
54600.000            2.7434108673
54800.000            2.9314576369
55000.000            2.8981734009
55200.000            2.8316714337
55400.000            3.0617278651
55600.000            2.8866631167
55800.000            2.9956405828
56000.000            2.9110514396
56200.000            3.3599576639
56400.000            3.5249342251
56600.000            2.8679804026
56800.000            3.1428085594
57000.000            2.9995629338
57200.000            3.1873282301
57400.000            2.9921288190
57600.000            2.8925847079
57800.000            3.1012515167
58000.000            3.1042509878
58200.000            3.1676178648
58400.000            2.8931370578
58600.000            2.8090649453
58800.000            2.7493946168
59000.000            2.8313701719
59200.000            2.9426425954
59400.000            2.9758548887
59600.000            2.9916284812
59800.000            2.9100133753
60000.000            2.8499421847
60200.000            2.7641741278
60400.000            2.7859949386
60600.000            2.9169728707
60800.000            2.8746040051
61000.000            3.2608117879
61200.000            3.2419100197
61400.000            3.5709918532
61600.000            3.2551193378
61800.000            3.4569275501
62000.000            3.9383988497
62200.000            3.5046852735
62400.000            3.4259763776
62600.000            3.4296584984
62800.000            3.0806609734
63000.000            3.0234914148
63200.000            2.9851330675
63400.000            3.0530962638
63600.000            3.4338117459
63800.000            3.4758628703
64000.000            3.1922792701
64200.000            3.0076735965
64400.000            3.0743811983
64600.000            3.2531187100
64800.000            2.8258796323
65000.000            2.9286208554
65200.000            3.1322628253
65400.000            3.1096108717
65600.000            3.2074304557
65800.000            3.5606924631
66000.000            3.3643773403
66200.000            3.3555876275
66400.000            3.2954061745
66600.000            3.1235761165
66800.000            3.5038360086
67000.000            3.3346444923
67200.000            3.3385288617
67400.000            3.4878337375
67600.000            3.1798106149
67800.000            3.1130544405
68000.000            3.0733379571
68200.000            3.3273253305
68400.000            3.2861585648
68600.000            3.2215788012
68800.000            3.3533897560
69000.000            3.2255619407
69200.000            3.4603401049
69400.000            3.4298760998
69600.000            3.6124126897
69800.000            3.5441187832
70000.000            2.8116804904
70200.000            3.0312708751
70400.000            2.7289128712
70600.000            2.9473691434
70800.000            2.8194541689
71000.000            2.8637168453
71200.000            2.8221900634
71400.000            2.9827881736
71600.000            2.9739277514
71800.000            2.9303965465
72000.000            2.8152696822
72200.000            2.9678927311
72400.000            2.9974897347
72600.000            2.9085796732
72800.000            3.0884426989
73000.000            2.7921930991
73200.000            2.9529093230
73400.000            2.9795240466
73600.000            3.0814850418
73800.000            3.3566117444
74000.000            3.1895785346
74200.000            2.8320396985
74400.000            3.4322943597
74600.000            3.6444151325
74800.000            3.1736156151
75000.000            3.4511412992
75200.000            3.0982692782
75400.000            3.2547446389
75600.000            3.5754225179
75800.000            3.9083393476
76000.000            3.4505945888
76200.000            3.3176032082
76400.000            3.3401470697
76600.000            2.8523055921
76800.000            2.9846130125
77000.000            2.8466098212
77200.000            2.7611529648
77400.000            2.9041763399
77600.000            3.0201258137
77800.000            3.0170617768
78000.000            3.7006044325
78200.000            3.1714640806
78400.000            3.2619976397
78600.000            3.4866335648
78800.000            3.2521805780
79000.000            2.9846086243
79200.000            3.1144399850
79400.000            3.1635142040
79600.000            3.2094725579
79800.000            2.8394736058
80000.000            2.9686586677
80200.000            2.9850926605
80400.000            3.2066630781
80600.000            2.9895504668
80800.000            3.0567469853
81000.000            3.1811477113
81200.000            3.2213039872
81400.000            3.3566429006
81600.000            3.6222686343
81800.000            3.0008620664
82000.000            3.0182248099
82200.000            2.8433031287
82400.000            3.0439676574
82600.000            3.0052570977
82800.000            3.3385052959
83000.000            3.4238652561
83200.000            3.1136639140
83400.000            2.9584253497
83600.000            2.7771217372
83800.000            2.8809833271
84000.000            2.8390390969
84200.000            2.7585643419
84400.000            3.1304670078
84600.000            2.9016395392
84800.000            3.1128317275
85000.000            3.1563509716
85200.000            3.2986488645
85400.000            3.3684648241
85600.000            3.2109199523
85800.000            2.9212782998
86000.000            3.1877063743
86200.000            3.3903283546
86400.000            3.0388168060
86600.000            2.7378137657
86800.000            2.8735050693
87000.000            2.9743218236
87200.000            3.0157056984
87400.000            2.9094611737
87600.000            2.9661583247
87800.000            3.0319427738
88000.000            2.9209536560
88200.000            3.1089698209
88400.000            3.3972912064
88600.000            3.1755998168
88800.000            2.9267280409
89000.000            2.8043425246
89200.000            2.9722898913
89400.000            2.8884649946
89600.000            2.9519612998
89800.000            3.1125874292
90000.000            3.1701339994
90200.000            2.7796382395
90400.000            2.7836306831
90600.000            2.8491385511
90800.000            3.2098017975
91000.000            3.2983409730
91200.000            3.4045574311
91400.000            3.7397044271
91600.000            3.2883345427
91800.000            3.0466998515
92000.000            3.6542169897
92200.000            3.3205741856
92400.000            3.4654115714
92600.000            3.6895954349
92800.000            3.3154093157
93000.000            3.3694925346
93200.000            3.4018495440
93400.000            3.2498249923
93600.000            3.1764034978
93800.000            3.2950291510
94000.000            3.2735631084
94200.000            3.8856547316
94400.000            3.4578665596
94600.000            3.7891923763
94800.000            3.5616246651
95000.000            3.2076309964
95200.000            3.4279044815
95400.000            3.0457069501
95600.000            3.3697225059
95800.000            3.5642260197
96000.000            3.1431928530
96200.000            3.2901828229
96400.000            3.3338114874
96600.000            3.1607963842
96800.000            3.2385589411
97000.000            3.2487960839
97200.000            3.4722152087
97400.000            3.3086868483
97600.000            2.9687357636
97800.000            3.1823195979
98000.000            3.2684468349
98200.000            3.0344058645
98400.000            3.0440855814
98600.000            3.0760252433
98800.000            2.8485655767
99000.000            3.2727544521
99200.000            3.6107150908
99400.000            3.3027768027
99600.000            3.3852165107
99800.000            3.2843834490
100000.000            3.1043268977
100200.000            3.0847046938
100400.000            3.1514155630
100600.000            3.0151833544
100800.000            3.1165608317
101000.000            3.1328074009
101200.000            3.6771686099
101400.000            3.1179086317
101600.000            2.9015234536
101800.000            2.9771165021
102000.000            2.9727858765
102200.000            2.7626249865
102400.000            2.9539201271
102600.000            3.1645404795
102800.000            2.9132687792
103000.000            2.9148654139
103200.000            2.8214181909
103400.000            2.9307410498
103600.000            3.1141959358
103800.000            3.2223437593
104000.000            2.7895609678
104200.000            3.0428125112
104400.000            3.0120184007
104600.000            3.1529747379
104800.000            3.4760291534
105000.000            3.3171210636
105200.000            3.1938623904
105400.000            3.2609283776
105600.000            2.9935559565
105800.000            2.9969700651
106000.000            2.8659793953
106200.000            3.0537635727
106400.000            2.9141376369
106600.000            2.7294238356
106800.000            3.1059629669
107000.000            3.2077370308
107200.000            2.9344998100
107400.000            2.7246924962
107600.000            2.8176056516
107800.000            2.9944073503
108000.000            3.1041354062
108200.000            3.2740448142
108400.000            2.9473772853
108600.000            2.8475331340
108800.000            2.9142210364
109000.000            2.9554012869
109200.000            2.9542772554
109400.000            3.1121814259
109600.000            2.9001679504
109800.000            2.8450797863
110000.000            2.9393882292
110200.000            2.9183167807
110400.000            2.7730132731
110600.000            2.9289538071
110800.000            2.9661934244
111000.000            3.3452801726
111200.000            2.9454507291
111400.000            3.0617567442
111600.000            3.1590795899
111800.000            3.5275183412
112000.000            3.4435771513
112200.000            3.0849871930
112400.000            3.1046188553
112600.000            3.2050510076
112800.000            3.2765108462
113000.000            3.5977628204
113200.000            3.3766038202
113400.000            3.1221863262
113600.000            2.8663425841
113800.000            3.1709320825
114000.000            2.8075957641
114200.000            3.0337620266
114400.000            2.9633591749
114600.000            2.9679944840
114800.000            3.1142323282
115000.000            3.9157171631
115200.000            3.6708075701
115400.000            3.9244411004
115600.000            3.3899018097
115800.000            3.8943596098
116000.000            3.5679017420
116200.000            3.8785643432
116400.000            3.3282474574
116600.000            3.2351575524
116800.000            3.0819647788
117000.000            3.1861146081
117200.000            3.1742490221
117400.000            3.3411968458
117600.000            3.0848669504
117800.000            3.1246202947
118000.000            3.0864173964
118200.000            3.2795158500
118400.000            3.0959230203
118600.000            3.1309955902
118800.000            2.9911550181
119000.000            3.5645874413
119200.000            3.3763833547
119400.000            3.0909972184
119600.000            2.9543638156
119800.000            2.6813496577
120000.000            2.8274595207
120200.000            2.9708218546
120400.000            2.6816756061
120600.000            2.8373198061
120800.000            2.7937349347
121000.000            2.8472888358
121200.000            2.9884510567
121400.000            3.3206126594
121600.000            3.8166436390
121800.000            3.1418965432
122000.000            2.8051319084
122200.000            3.0587013058
122400.000            2.9239000654
122600.000            2.9002142578
122800.000            2.7638960464
123000.000            3.0529125999
123200.000            2.8285055846
123400.000            2.9928533405
123600.000            3.0218612163
123800.000            2.9362837971
124000.000            2.9272038463
124200.000            2.8329754288
124400.000            2.8173219544
124600.000            2.9845012853
124800.000            3.0527087146
125000.000            3.2500633486
125200.000            2.8855894072
125400.000            2.9149038225
125600.000            2.9432601575
125800.000            2.8931486984
126000.000            3.0383075673
126200.000            3.4282625468
126400.000            3.0599623855
126600.000            3.6623216808
126800.000            3.9339280745
127000.000            3.6433646568
127200.000            3.8410562334
127400.000            3.8237390975
127600.000            3.4646693963
127800.000            3.7464704029
128000.000            2.7364145999
128200.000            2.7024656702
128400.000            2.9468311916
128600.000            3.0356398856
128800.000            3.0690380192
129000.000            3.0470924294
129200.000            2.9657023314
129400.000            2.9281660956
129600.000            2.9904167331
129800.000            2.9851230992
130000.000            3.0096374108
130200.000            2.9003721619
130400.000            2.7407598549
130600.000            2.9248735757
130800.000            2.9527591932
131000.000            3.1137350977
131200.000            3.2381781758
131400.000            3.0279879560
131600.000            2.6780072132
131800.000            2.9833435596
132000.000            2.9505018201
